loan_ref,product_code,date_approved,date_disbursed,first_payment_due,maturity_date,amount_usd,annual_rate_pct,term_months,payment_frequency,loan_purpose,client_gender,client_dob,marital_status,num_dependents,employment_sector,months_at_employer,monthly_income_usd,existing_obligations,collateral_type,disbursement_channel,province,defaulted
FW73140,4,17/6/2025,26/6/2025,28/7/2025,21/6/2026,5477.88,16.13,12,Monthly,Home_Improvement,Female,2-Nov-82,Married,6,Manufacturing,51,344.23,1,Savings,Cash,Harare,0
MC38236,1,29/3/2025,11/4/2025,7/5/2025,26/3/2028,2998.76,96.4,36,Monthly,Stock_Purchase,Male,28-Sep-03,Single,3,Agriculture,10,,1,Savings,InnBucks,Mashonaland_Central,1
VX14859,4,1/11/2025,21/11/2025,26/12/2025,5/11/2028,7701.57,15.84,36,Monthly,Home_Improvement,Female,30-Jan-89,Married,4,Healthcare,83,520.57,0,Property,Bank_Transfer,Harare,0
BP70549,4,13/5/2025,1/6/2025,3/7/2025,22/5/2027,5047.83,17.15,24,Monthly,Equipment,Female,11-Sep-95,Married,2,Agriculture,46,343.95,1,Property,EcoCash,Mashonaland_East,0
VB99734,0,24/5/2025,8/6/2025,10/7/2025,5/12/2025,2076.19,17.84,6,Bi-Weekly,Personal,Male,3-Sep-84,Widowed,4,Retail_Trade,110,481.74,0,Guarantor,InnBucks,Harare,0
TP13383,3,7/2/2025,23/2/2025,8/4/2025,13/2/2027,439.34,15.13,24,Monthly,Rent,Male,11-Jan-88,Single,4,Informal_Sector,47,156.85,0,Vehicle,EcoCash,Bulawayo,1
MF96318,0,19/5/2025,7/6/2025,20/7/2025,28/5/2027,499.01,133.53,24,Weekly,Funeral,Female,22-Dec-96,Divorced,0,Informal_Sector,32,232.93,1,None,Cash,Midlands,0
GN42412,1,4/11/2024,13/11/2024,10/12/2024,7/5/2026,2376.27,13.82,18,Weekly,Business_Expansion,Male,3-Oct-67,,6,Informal_Sector,24,239.65,0,Vehicle,EcoCash,Bulawayo,1
MY16812,4,14/12/2024,3/1/2025,17/2/2025,19/12/2027,4933.65,16.97,36,Bi-Weekly,Vehicle,Female,11-Jun-85,Married,5,Retail_Trade,,249.59,3,None,InnBucks,Mashonaland_West,0
NE68299,0,5/10/2024,11/10/2024,11/11/2024,6/10/2025,1797.31,15.31,12,Monthly,,Male,7-Jul-75,Married,6,Government,25,576.36,4,None,InnBucks,Harare,0
CW53178,3,23/9/2025,29/9/2025,9/11/2025,19/9/2027,1158.45,11.08,24,Monthly,Rent,Female,30-Jun-96,Single,1,Informal_Sector,35,240.69,0,Guarantor,OneMoney,Mashonaland_West,0
VH66544,0,15/9/2025,20/9/2025,26/10/2025,15/9/2026,2613.7,92.61,12,Monthly,Business_Expansion,Female,28-Dec-64,Divorced,4,Transport,96,820.94,1,None,Bank_Transfer,Bulawayo,0
OP48697,2,15/9/2024,6/10/2024,3/11/2024,4/4/2025,5619.24,115.22,6,Monthly,Farming_Inputs,Female,11-Jan-67,Divorced,7,Retail_Trade,79,645.17,2,Savings,InnBucks,Harare,0
OA06418,1,22/11/2024,27/11/2024,22/12/2024,17/11/2026,3593.63,110.05,24,Monthly,Business_Expansion,Female,3-Mar-75,Married,8,Retail_Trade,44,289.17,3,Savings,Bank_Transfer,Midlands,0
ND15013,5,29/9/2024,3/10/2024,14/11/2024,1/1/2025,924.53,173.38,3,Bi-Weekly,Rent,Female,30-Dec-93,Married,,Agriculture,98,403.12,0,Vehicle,Bank_Transfer,Mashonaland_West,0
QO73039,0,1/7/2025,22/7/2025,5/9/2025,12/7/2027,1643.64,115.04,24,Monthly,Rent,Male,12-Aug-04,Single,0,Agriculture,22,273.71,1,Guarantor,Cash,Manicaland,0
UH20950,1,28/9/2025,30/9/2025,26/10/2025,20/9/2027,4181.73,14.5,24,Monthly,Working_Capital,Male,23-Nov-91,Divorced,2,Agriculture,32,273.1,0,Savings,InnBucks,Harare,0
GJ25493,4,10/11/2024,22/11/2024,17/12/2024,16/5/2026,6585.21,14.91,18,Monthly,Home_Improvement,Male,8-Oct-93,Married,1,Retail_Trade,29,576.43,0,Livestock,Bank_Transfer,Matabeleland_South,0
OO90020,0,4/3/2025,8/3/2025,3/4/2025,3/3/2026,3687.96,123.72,12,Monthly,Rent,Female,25-Feb-77,Married,3,Informal_Sector,13,554.21,0,None,EcoCash,Bulawayo,1
YC21130,3,12/2/2026,22/2/2026,24/3/2026,17/2/2027,2228.45,15,12,Monthly,School_Fees,Female,6-Jul-82,Divorced,3,Government,119,504,2,Savings,OneMoney,Manicaland,0
GI82411,0,9/11/2024,14/11/2024,21/12/2024,8/5/2026,3970.77,16.57,18,Monthly,Farming_Inputs,Female,18-Jan-94,Divorced,3,Construction,20,618.14,2,None,EcoCash,Matabeleland_North,1
IZ38404,1,11/2/2026,23/2/2026,26/3/2026,18/2/2027,4277.22,117.7,12,Monthly,Business_Expansion,Male,4-Dec-91,Divorced,5,Informal_Sector,25,414.77,0,Guarantor,EcoCash,Harare,0
BM04624,0,19/11/2024,7/12/2024,5/1/2025,5/6/2025,1046.68,15.69,6,Monthly,Debt_Consolidation,Male,24-Jul-73,Married,7,Education,13,351.82,2,None,Cash,Manicaland,1
YD72023,4,6/7/2025,7/7/2025,15/8/2025,21/6/2028,9472.87,14.75,36,Monthly,Equipment,Female,26-Jul-03,Single,0,Healthcare,11,548.94,1,Guarantor,EcoCash,Midlands,1
PW49281,2,27/9/2025,30/9/2025,6/11/2025,25/9/2026,4585.99,12.33,12,Monthly,Working_Capital,Male,7-Apr-74,Widowed,3,Construction,77,,0,Vehicle,Cash,Matabeleland_South,0
BD11653,2,14/12/2025,20/12/2025,28/1/2026,15/12/2026,4790.7,,12,Monthly,Working_Capital,Male,6-Jul-85,Widowed,7,Agriculture,26,396.69,4,Property,Cash,Midlands,0
HP15786,1,10/11/2025,11/11/2025,14/12/2025,6/11/2026,4755.07,121.26,12,Monthly,Business_Expansion,Male,5-Sep-75,Divorced,7,Agriculture,111,304.29,1,None,Cash,Mashonaland_West,0
FI92500,0,31/1/2025,5/2/2025,9/3/2025,6/5/2025,238.4,131,3,Monthly,Rent,Male,23-Jul-71,Widowed,3,Agriculture,69,84.69,1,Vehicle,Bank_Transfer,Harare,0
IF91623,2,23/7/2025,1/8/2025,28/8/2025,27/7/2026,9840.31,87.26,12,Monthly,Farming_Inputs,Female,30-Dec-85,Divorced,5,Telecom,18,1381.62,1,,Bank_Transfer,Harare,1
JR63311,2,6/2/2025,26/2/2025,3/4/2025,23/11/2025,1897.75,67.37,9,Monthly,Farming_Inputs,Female,29-Jul-75,,3,Healthcare,82,,2,Livestock,Bank_Transfer,Bulawayo,0
LK16427,3,26/11/2025,29/11/2025,1/1/2026,24/11/2026,3088.34,14.11,12,Monthly,Debt_Consolidation,Male,27-Jan-79,Married,3,Manufacturing,24,,4,None,Cash,Mashonaland_Central,0
AU60843,1,29/12/2025,7/1/2026,1/2/2026,1/7/2027,12170.06,98.57,18,Weekly,Working_Capital,Female,15-Sep-72,Divorced,5,NGO,46,,0,Property,EcoCash,Matabeleland_South,0
ZA04862,2,14/10/2025,30/10/2025,1/12/2025,28/4/2026,3319.93,113.5,6,Monthly,Working_Capital,Male,28-Jun-97,Divorced,3,Education,103,620.48,3,Livestock,EcoCash,Harare,0
WL02803,2,21/4/2025,6/5/2025,20/6/2025,1/5/2026,1514.92,15.52,12,Monthly,Equipment,Male,20-Nov-92,Widowed,3,Informal_Sector,34,479.02,2,Guarantor,EcoCash,Matabeleland_North,0
IU92908,2,24/8/2025,11/9/2025,11/10/2025,5/3/2027,2497.96,10.3,18,Monthly,Equipment,Male,1-Aug-77,Divorced,2,Agriculture,22,159.2,2,Livestock,InnBucks,Mashonaland_Central,0
IX50929,2,14/5/2025,2/6/2025,15/7/2025,28/5/2026,2597.22,82.63,12,Monthly,Equipment,Male,15-Apr-84,Divorced,4,Transport,35,141.32,3,Property,EcoCash,Manicaland,0
LQ38835,0,14/2/2025,1/3/2025,5/4/2025,30/5/2025,1241.46,143.16,3,Monthly,,Female,18-Apr-94,Married,1,Agriculture,140,384.65,0,Guarantor,EcoCash,Harare,0
NR85597,1,26/12/2025,29/12/2025,28/1/2026,27/6/2026,2076.79,140.42,6,Monthly,Stock_Purchase,Male,21-Feb-98,Divorced,3,Agriculture,27,261.44,0,Savings,EcoCash,Bulawayo,0
BA96631,1,1/12/2025,14/12/2025,27/1/2026,12/6/2026,11386.53,135.6,6,Monthly,Working_Capital,Male,5-Jan-87,Married,1,Government,94,559.97,2,Savings,Bank_Transfer,Harare,0
VY82742,2,24/1/2025,25/1/2025,7/3/2025,20/1/2026,708,13.76,12,Monthly,Livestock,Male,21-Nov-83,Married,3,Informal_Sector,28,118.92,3,Guarantor,InnBucks,Manicaland,0
JW38745,1,25/4/2025,4/5/2025,2/6/2025,29/4/2026,9327.41,127.04,12,Monthly,Working_Capital,Male,2-Jan-68,Single,3,Government,87,768.84,3,Savings,Bank_Transfer,Harare,0
VD98697,4,23/5/2025,5/6/2025,7/7/2025,31/5/2026,23399.95,80.86,12,Monthly,Equipment,Female,27-Nov-93,Married,0,Telecom,127,1877.93,1,Livestock,InnBucks,Manicaland,0
YM77383,1,15/2/2025,24/2/2025,2/4/2025,14/2/2027,2678.88,96.34,24,Monthly,Business_Expansion,Female,4-Oct-75,Divorced,2,Retail_Trade,102,409.09,4,Livestock,Cash,Midlands,0
PZ43283,0,8/12/2024,23/12/2024,28/1/2025,16/6/2026,2595.51,140.26,18,Bi-Weekly,School_Fees,Male,31-May-78,Married,4,NGO,,1146.3,6,Livestock,OneMoney,Harare,0
RI95667,2,7/6/2025,18/6/2025,18/7/2025,15/3/2026,6777.18,100.78,9,Monthly,Livestock,Female,4-Aug-03,Single,0,Manufacturing,11,,3,Property,EcoCash,Bulawayo,0
YQ24747,0,20/4/2025,5/5/2025,18/6/2025,3/8/2025,673.93,151.09,3,Bi-Weekly,Personal,Male,19-Jun-03,Single,3,Informal_Sector,31,218.9,1,None,Cash,Mashonaland_Central,0
BQ82181,0,1/2/2025,6/2/2025,18/3/2025,1/2/2026,204.09,13.87,12,Monthly,Farming_Inputs,Male,26-Apr-85,Single,4,Informal_Sector,25,85.8,0,Savings,EcoCash,Harare,1
KD32928,1,27/12/2025,17/1/2026,12/2/2026,7/1/2028,7346.39,122.04,24,Monthly,Equipment,Female,23-Sep-80,Married,2,Telecom,83,717.96,1,Vehicle,EcoCash,Bulawayo,1
EQ92853,5,11/1/2026,15/1/2026,16/2/2026,14/7/2026,722.23,114.52,6,Monthly,Medical,Female,10-Feb-96,Married,5,Education,82,482.94,0,Guarantor,InnBucks,Masvingo,0
ED65494,2,20/10/2025,8/11/2025,21/12/2025,3/11/2026,2286.16,110.55,12,Monthly,Farming_Inputs,Male,19-Aug-94,Married,1,Manufacturing,67,161.52,1,Guarantor,Bank_Transfer,Mashonaland_East,1
GM89015,3,12/10/2024,18/10/2024,28/11/2024,13/10/2025,1732.71,17.84,12,Monthly,Personal,Male,9-Oct-97,Single,3,Informal_Sector,25,350.03,0,None,EcoCash,Midlands,0
NA24663,3,27/12/2024,14/1/2025,22/2/2025,13/7/2025,2310.06,103.62,6,Monthly,School_Fees,Female,6-Aug-97,Married,2,Retail_Trade,20,820.94,0,Guarantor,Cash,Masvingo,0
NY69911,3,8/2/2025,27/2/2025,10/4/2025,22/2/2026,2674,19.39,12,Monthly,Debt_Consolidation,Male,30-Jan-94,,5,Government,,551.55,5,Savings,Cash,Matabeleland_South,0
VZ06618,1,4/8/2025,7/8/2025,11/9/2025,29/1/2027,2938.4,15.79,18,Monthly,Working_Capital,Male,2-Sep-95,Single,3,Agriculture,95,286.65,2,Property,Cash,Harare,0
CB84712,4,23/7/2025,27/7/2025,28/8/2025,18/1/2027,8743.82,14.93,18,Weekly,Vehicle,Male,14-May-95,Single,2,Education,55,300.67,3,Savings,OneMoney,Masvingo,0
PL46955,4,25/12/2025,15/1/2026,11/2/2026,30/12/2028,10146.84,16.46,36,Monthly,Vehicle,Male,7-Dec-87,Married,3,Construction,66,520.89,4,Livestock,Bank_Transfer,Mashonaland_East,1
NZ09907,1,19/7/2025,7/8/2025,12/9/2025,29/1/2027,25670.61,13.46,18,Monthly,Equipment,Female,22-Oct-02,Single,0,Telecom,5,2002.59,0,,InnBucks,Mashonaland_West,0
QU01873,1,14/3/2025,22/3/2025,20/4/2025,17/3/2026,1746.68,14.38,12,Weekly,Business_Expansion,Male,10-Apr-78,Divorced,6,Agriculture,105,150.4,0,Guarantor,EcoCash,Mashonaland_West,0
LO77884,3,24/7/2025,10/8/2025,7/9/2025,6/2/2026,1289.61,15.48,6,Bi-Weekly,Rent,Male,18-Feb-93,Married,2,Informal_Sector,11,253.89,4,None,EcoCash,Matabeleland_South,1
TC20887,3,21/11/2025,2/12/2025,7/1/2026,27/11/2026,705.47,78.69,12,Bi-Weekly,School_Fees,Female,28-Apr-04,Married,1,Agriculture,5,503.77,0,None,Bank_Transfer,Mashonaland_West,0
KD61928,0,23/2/2025,14/3/2025,13/4/2025,9/3/2026,6141.9,98.85,12,Bi-Weekly,Farming_Inputs,Female,16-Jan-92,Widowed,3,Telecom,88,2314.57,1,None,Cash,Manicaland,0
ZC49112,0,15/8/2025,27/8/2025,9/10/2025,23/2/2026,8085.75,15.9,6,Monthly,Business_Expansion,Male,16-Jan-90,Single,2,Finance,122,1228.11,4,None,InnBucks,Mashonaland_East,0
DW25805,0,14/11/2024,5/12/2024,18/1/2025,29/5/2026,387.97,122.09,18,Monthly,Home_Improvement,Female,15-Jan-89,Married,0,Informal_Sector,19,,2,Guarantor,EcoCash,Masvingo,0
XX60591,2,9/4/2025,11/4/2025,6/5/2025,1/4/2027,3188.43,9.57,24,Monthly,Livestock,Male,1-May-08,Single,1,,12,357.42,1,,EcoCash,Matabeleland_South,0
OP34896,4,24/1/2025,2/2/2025,17/3/2025,27/7/2026,5908.87,18.12,18,Monthly,Home_Improvement,Male,16-Dec-95,Single,2,Retail_Trade,73,504.05,2,None,OneMoney,Bulawayo,0
QM19337,3,22/11/2024,12/12/2024,17/1/2025,5/6/2026,1862.43,16.51,18,Monthly,Debt_Consolidation,Female,29-Apr-97,Single,4,Informal_Sector,27,397.94,1,None,EcoCash,Mashonaland_East,0
KM64890,1,9/10/2025,18/10/2025,28/11/2025,2/10/2028,11066.91,129.88,36,Weekly,Stock_Purchase,Male,3-Jan-69,Married,4,Government,59,579.81,1,Property,EcoCash,Midlands,0
AS83793,1,14/5/2025,29/5/2025,4/7/2025,24/5/2026,8060.69,105.99,12,Bi-Weekly,Business_Expansion,Male,18-May-89,Married,5,Education,47,401.19,1,None,EcoCash,Mashonaland_West,0
PX11191,0,20/7/2025,31/7/2025,1/9/2025,26/7/2026,4118.79,153.34,12,Monthly,Wedding,Female,5-Apr-00,Single,2,Construction,33,,1,None,EcoCash,Harare,0
TR51871,0,28/9/2025,16/10/2025,10/11/2025,14/1/2026,1501.96,16.43,3,Monthly,,Male,8-Jan-95,Single,4,Manufacturing,33,691.04,5,Guarantor,EcoCash,Midlands,0
NV80511,5,30/10/2025,17/11/2025,1/1/2026,16/5/2026,1037.43,130.44,6,Weekly,Rent,Male,20-Nov-92,Single,2,Transport,137,697.43,1,Guarantor,EcoCash,Harare,0
DD59640,1,31/8/2025,4/9/2025,9/10/2025,25/8/2027,6681.42,102.21,24,Monthly,,Male,23-Dec-90,Married,3,Telecom,103,678.1,0,None,Bank_Transfer,Bulawayo,0
FI87669,1,22/4/2025,25/4/2025,9/6/2025,20/4/2026,14728.4,111.46,12,Monthly,Stock_Purchase,Male,11-May-99,Single,0,Finance,17,784.95,4,Guarantor,OneMoney,Manicaland,0
DY54953,1,25/8/2025,13/9/2025,20/10/2025,12/3/2026,3150.19,15.26,6,Monthly,Stock_Purchase,Male,7-Jul-97,Married,3,Informal_Sector,20,503.57,1,Guarantor,EcoCash,Masvingo,0
DD55853,3,6/12/2024,15/12/2024,26/1/2025,10/12/2025,3363.24,15.13,12,Monthly,Medical,Female,9-Oct-83,Married,4,Telecom,93,1017.25,2,Guarantor,EcoCash,Harare,0
ID86435,4,8/1/2026,21/1/2026,6/3/2026,16/1/2027,6426.29,17.01,12,Monthly,Home_Improvement,Male,10-Dec-00,Divorced,4,Government,18,364.37,2,Property,Cash,Masvingo,0
ZT16311,2,22/11/2024,23/11/2024,25/12/2024,20/8/2025,10211.1,92.34,9,Monthly,Equipment,Male,2-Sep-94,Single,0,NGO,77,1742.64,3,Livestock,Bank_Transfer,Harare,0
JF74177,3,30/12/2025,4/1/2026,2/2/2026,28/6/2027,2641.24,10.54,18,Weekly,Personal,Male,2-Feb-81,,3,Retail_Trade,23,845.32,4,Guarantor,EcoCash,Masvingo,1
NC53618,3,31/7/2025,20/8/2025,16/9/2025,16/2/2026,1636.74,72.31,6,Monthly,Personal,Male,3-Sep-94,,3,Informal_Sector,34,474.06,3,None,EcoCash,Mashonaland_East,0
VP30732,0,22/11/2024,23/11/2024,27/12/2024,22/5/2025,1351.47,143.68,6,Bi-Weekly,Farming_Inputs,Female,2-May-69,Single,0,Informal_Sector,12,580.04,1,Savings,OneMoney,Mashonaland_West,0
OI80437,0,10/12/2025,30/12/2025,7/2/2026,23/6/2027,441.09,13.32,18,Bi-Weekly,Stock_Purchase,Female,16-Mar-99,Married,4,Agriculture,7,248.63,3,Property,OneMoney,Harare,0
DS19074,0,22/11/2024,28/11/2024,2/1/2025,18/11/2026,2785.96,94.22,24,Monthly,Medical,Male,1-Mar-84,Widowed,5,Informal_Sector,26,307.27,2,Guarantor,EcoCash,Matabeleland_South,0
SI73818,0,28/3/2025,7/4/2025,9/5/2025,29/9/2026,1125.33,147.23,18,Bi-Weekly,Farming_Inputs,Female,24-Apr-97,Married,2,Agriculture,39,416.67,3,Property,EcoCash,Mashonaland_Central,0
IQ73258,2,3/3/2025,20/3/2025,15/4/2025,16/9/2025,22982.67,108.93,6,Monthly,Equipment,Female,6-May-98,Single,0,Finance,71,1637.24,2,None,EcoCash,Mashonaland_East,1
BZ60089,1,29/12/2024,2/1/2025,15/2/2025,28/12/2025,5601.52,13.74,12,Monthly,Business_Expansion,Female,16-May-96,Married,3,Education,13,572.98,3,Property,Bank_Transfer,Harare,0
CR94829,2,5/2/2026,9/2/2026,13/3/2026,4/2/2027,14664.29,81.47,12,Monthly,Farming_Inputs,Male,16-May-87,Married,3,Finance,,1774.65,1,Guarantor,Bank_Transfer,Midlands,0
MB38247,0,27/1/2026,29/1/2026,5/3/2026,24/1/2027,1816.67,143.58,12,Monthly,Rent,Male,2-Mar-96,Single,,Retail_Trade,45,263.81,4,None,Bank_Transfer,Masvingo,1
CB43690,0,1/11/2025,16/11/2025,28/12/2025,15/5/2026,1327.12,105.6,6,Monthly,Stock_Purchase,Male,7-Jan-87,Divorced,4,Construction,125,374.52,2,Vehicle,Cash,Harare,0
EW53207,0,14/12/2024,16/12/2024,15/1/2025,9/6/2026,2901.25,16.68,18,Monthly,Rent,Male,14-Aug-90,Divorced,2,Mining,135,680.85,2,None,EcoCash,Midlands,0
GJ86097,3,30/5/2025,15/6/2025,13/7/2025,12/12/2025,999.73,17.57,6,Monthly,School_Fees,Male,10-Nov-04,Married,0,Manufacturing,7,439.04,0,Savings,Bank_Transfer,Bulawayo,1
GB35893,4,23/1/2025,3/2/2025,5/3/2025,28/7/2026,19446.21,91.69,18,Monthly,Equipment,Female,12-Feb-83,,5,Construction,,825.62,4,Vehicle,EcoCash,Harare,0
RL84785,2,17/12/2024,18/12/2024,28/1/2025,16/6/2025,10048.5,90.03,6,Monthly,Farming_Inputs,Female,11-Oct-85,Married,5,Education,38,738.57,0,Guarantor,Bank_Transfer,Mashonaland_West,0
EL27992,1,12/1/2025,30/1/2025,8/3/2025,25/1/2026,2975.69,17.44,12,Monthly,Business_Expansion,Male,1-Oct-91,Married,4,Agriculture,96,248.32,1,None,InnBucks,Harare,1
GE94338,0,11/2/2026,14/2/2026,28/3/2026,13/8/2026,3167.38,156.5,6,Monthly,Funeral,Male,28-Feb-96,Widowed,,NGO,49,1969.42,2,None,EcoCash,Harare,0
XV86679,0,21/11/2024,26/11/2024,24/12/2024,20/5/2026,4922.85,14.97,18,Bi-Weekly,Farming_Inputs,Male,11-Dec-88,Married,2,Government,92,635.19,3,None,OneMoney,Matabeleland_South,0
NC61968,1,4/2/2026,17/2/2026,2/4/2026,12/2/2027,2523.43,80.02,12,Weekly,Stock_Purchase,Male,22-May-84,Widowed,6,Informal_Sector,45,121.55,0,None,OneMoney,Matabeleland_North,0
ZM79371,0,6/12/2025,20/12/2025,16/1/2026,13/6/2027,1931.36,118.51,18,Weekly,Medical,Female,7-Dec-84,Married,1,Government,36,410.04,0,Guarantor,Bank_Transfer,Mashonaland_East,0
AM50591,3,5/10/2024,12/10/2024,19/11/2024,2/10/2026,1022.23,17.49,24,Monthly,School_Fees,Male,6-Dec-78,Married,2,Construction,77,293.39,6,Guarantor,EcoCash,Midlands,0
SF34072,1,21/7/2025,29/7/2025,26/8/2025,19/7/2027,2181.13,83.54,24,Monthly,Equipment,Male,12-Jan-88,Married,3,Informal_Sector,39,153.49,0,None,EcoCash,Mashonaland_East,1
RV73481,0,20/6/2025,26/6/2025,6/8/2025,23/12/2025,2519.77,146,6,Monthly,Working_Capital,Male,25-Feb-94,,4,Construction,45,663.67,3,None,Bank_Transfer,Harare,0
AL58980,1,26/4/2025,11/5/2025,25/6/2025,2/11/2026,5599.75,115.68,18,Monthly,Business_Expansion,Female,5-Feb-04,Single,1,Retail_Trade,10,456.77,1,Guarantor,Bank_Transfer,Matabeleland_South,0
YP84051,0,21/1/2026,24/1/2026,27/2/2026,19/1/2027,2695.69,15.75,12,Monthly,Farming_Inputs,Male,3-Aug-84,Single,6,Construction,57,,2,Savings,InnBucks,Bulawayo,0
BK61226,1,26/9/2024,4/10/2024,4/11/2024,29/9/2025,3711.92,14.79,12,Bi-Weekly,Business_Expansion,Male,29-Oct-75,Divorced,3,Transport,,151.1,3,Livestock,Cash,Mashonaland_West,0
TU86455,3,25/11/2024,29/11/2024,28/12/2024,24/11/2025,2324.38,13.97,12,Monthly,Personal,Male,13-Jan-96,Single,2,Healthcare,76,427.62,2,None,Cash,Masvingo,1
XQ60530,5,14/2/2025,4/3/2025,3/4/2025,3/5/2025,2372.2,164.82,2,Monthly,Funeral,Male,11-Nov-76,Married,5,NGO,40,1565.98,0,None,EcoCash,Harare,0
TF89664,3,25/10/2024,6/11/2024,11/12/2024,1/11/2025,1566.39,14.74,12,Monthly,School_Fees,Male,13-Jul-84,Divorced,2,Retail_Trade,60,433.5,1,Savings,OneMoney,Harare,0
SU70280,0,4/3/2025,23/3/2025,20/4/2025,13/3/2027,828.63,111.49,24,Monthly,,Male,29-Jun-83,Single,1,Healthcare,76,365.99,1,Guarantor,Cash,Manicaland,0
DP43016,2,30/8/2025,15/9/2025,27/10/2025,10/9/2026,6644.55,14.17,12,Monthly,Farming_Inputs,Female,12-Feb-72,Divorced,5,Telecom,32,1113.14,1,Property,Bank_Transfer,Midlands,0
JA37889,1,3/10/2025,15/10/2025,17/11/2025,13/4/2026,2540.77,124.93,6,Monthly,,Male,15-Jun-81,Married,6,Informal_Sector,31,228.23,2,None,EcoCash,Matabeleland_South,0
ZA62748,2,14/1/2025,27/1/2025,12/3/2025,21/7/2026,845.77,9.47,18,Monthly,Farming_Inputs,Female,27-Jun-70,Divorced,7,Agriculture,47,129.18,1,Livestock,InnBucks,Mashonaland_West,0
PP51997,1,17/8/2025,21/8/2025,16/9/2025,17/2/2026,23151.28,99.43,6,Monthly,Equipment,Female,15-Nov-88,Married,6,NGO,63,1375.75,0,Vehicle,Cash,Harare,0
PV44328,3,24/10/2025,25/10/2025,25/11/2025,18/4/2027,2730.96,15.82,18,Monthly,Debt_Consolidation,Female,27-Oct-84,Married,0,Retail_Trade,175,927.4,4,None,OneMoney,Matabeleland_South,0
MZ55935,1,20/6/2025,10/7/2025,21/8/2025,6/1/2026,6950.48,99.51,6,Bi-Weekly,Business_Expansion,Male,8-Mar-98,Married,3,Informal_Sector,37,388.43,1,,Bank_Transfer,Harare,1
FG33780,1,26/9/2025,4/10/2025,8/11/2025,18/9/2028,16552.56,12.19,36,Monthly,Equipment,Male,15-Oct-63,Married,5,Mining,48,789.09,0,Vehicle,EcoCash,Harare,0
